cell_id,name,latitude,longitude,potential_score,housing_density_score,building_fit_score,solar_score,market_gap_score,campaign_score
CRS3035RES100mN2724300E4184600,Raster CRS3035RES100mN2724300E4184600,47.6177359,8.1871989,71,83,71,77,50,50
CRS3035RES100mN2726100E4191400,Raster CRS3035RES100mN2726100E4191400,47.6353925,8.2770356,70,67,92,71,50,50
CRS3035RES100mN2724800E4187400,Raster CRS3035RES100mN2724800E4187400,47.6228454,8.2242578,70,91,63,71,50,50
CRS3035RES100mN2724800E4186500,Raster CRS3035RES100mN2724800E4186500,47.6226504,8.2122951,70,84,73,71,50,50
CRS3035RES100mN2724600E4187200,Raster CRS3035RES100mN2724600E4187200,47.6210027,8.2216615,69,88,62,71,50,50
CRS3035RES100mN2722000E4180800,Raster CRS3035RES100mN2722000E4180800,47.596194,8.1374429,67,78,70,66,50,50
CRS3035RES100mN2724700E4187300,Raster CRS3035RES100mN2724700E4187300,47.6219241,8.2229596,67,80,67,71,50,50
CRS3035RES100mN2726100E4192200,Raster CRS3035RES100mN2726100E4192200,47.6355596,8.2876719,67,73,72,74,50,50
CRS3035RES100mN2724800E4186600,Raster CRS3035RES100mN2724800E4186600,47.6226721,8.2136243,66,73,70,71,50,50
CRS3035RES100mN2724900E4187600,Raster CRS3035RES100mN2724900E4187600,47.6237882,8.2268853,66,83,56,71,50,50
CRS3035RES100mN2725100E4193800,Raster CRS3035RES100mN2725100E4193800,47.6268935,8.3092398,66,69,74,70,50,50
CRS3035RES100mN2724300E4184700,Raster CRS3035RES100mN2724300E4184700,47.617758,8.1885279,66,77,61,77,50,50
CRS3035RES100mN2724300E4187800,Raster CRS3035RES100mN2724300E4187800,47.6184331,8.229729,65,68,70,71,50,50
CRS3035RES100mN2726100E4191800,Raster CRS3035RES100mN2726100E4191800,47.6354762,8.2823538,65,73,67,71,50,50
CRS3035RES100mN2725300E4186800,Raster CRS3035RES100mN2725300E4186800,47.627214,8.2161271,64,79,69,51,50,50
CRS3035RES100mN2724800E4187300,Raster CRS3035RES100mN2724800E4187300,47.6228238,8.2229286,64,73,63,71,50,50
CRS3035RES100mN2725500E4193900,Raster CRS3035RES100mN2725500E4193900,47.6305129,8.3104513,64,74,61,70,50,50
CRS3035RES100mN2723100E4182900,Raster CRS3035RES100mN2723100E4182900,47.6065626,8.1649892,64,61,71,77,50,50
CRS3035RES100mN2726100E4190800,Raster CRS3035RES100mN2726100E4190800,47.6352665,8.2690584,64,62,74,74,50,50
CRS3035RES100mN2725700E4193500,Raster CRS3035RES100mN2725700E4193500,47.6322301,8.3050744,63,71,59,70,50,50
CRS3035RES100mN2726000E4191300,Raster CRS3035RES100mN2726000E4191300,47.6344718,8.2757362,63,54,79,71,50,50
CRS3035RES100mN2724300E4184500,Raster CRS3035RES100mN2724300E4184500,47.6177139,8.1858698,63,74,53,77,50,50
CRS3035RES100mN2725000E4193500,Raster CRS3035RES100mN2725000E4193500,47.625932,8.3052814,63,66,65,70,50,50
CRS3035RES100mN2725600E4193100,Raster CRS3035RES100mN2725600E4193100,47.6312478,8.2997862,62,56,73,70,50,50
CRS3035RES100mN2729400E4198700,Raster CRS3035RES100mN2729400E4198700,47.6665704,8.3731572,62,77,41,80,50,50
CRS3035RES100mN2725800E4190600,Raster CRS3035RES100mN2725800E4190600,47.6325252,8.2664901,62,59,67,73,50,50
CRS3035RES100mN2723500E4183400,Raster CRS3035RES100mN2723500E4183400,47.6102727,8.1715055,62,65,59,78,50,50
CRS3035RES100mN2726100E4191600,Raster CRS3035RES100mN2726100E4191600,47.6354344,8.2796947,61,50,76,71,50,50
CRS3035RES100mN2723400E4183500,Raster CRS3035RES100mN2723400E4183500,47.6093953,8.1728662,61,58,63,78,50,50
CRS3035RES100mN2725000E4186400,Raster CRS3035RES100mN2725000E4186400,47.624428,8.2109035,61,66,74,51,50,50
CRS3035RES100mN2725800E4191600,Raster CRS3035RES100mN2725800E4191600,47.6327352,8.2797848,61,71,57,63,50,50
CRS3035RES100mN2724300E4188000,Raster CRS3035RES100mN2724300E4188000,47.6184761,8.2323872,61,55,73,69,50,50
CRS3035RES100mN2724200E4188000,Raster CRS3035RES100mN2724200E4188000,47.6175764,8.232418,61,46,82,69,50,50
CRS3035RES100mN2723500E4192500,Raster CRS3035RES100mN2723500E4192500,47.6122292,8.2924353,61,65,62,68,50,50
CRS3035RES100mN2724700E4187200,Raster CRS3035RES100mN2724700E4187200,47.6219024,8.2216305,61,62,61,71,50,50
CRS3035RES100mN2725500E4193100,Raster CRS3035RES100mN2725500E4193100,47.630348,8.2998159,60,71,47,70,50,50
CRS3035RES100mN2724700E4185000,Raster CRS3035RES100mN2724700E4185000,47.6214228,8.192389,60,53,63,78,50,50
CRS3035RES100mN2724800E4186400,Raster CRS3035RES100mN2724800E4186400,47.6226286,8.2109659,60,48,75,71,50,50
CRS3035RES100mN2724900E4187200,Raster CRS3035RES100mN2724900E4187200,47.6237018,8.2215684,60,55,66,71,50,50
CRS3035RES100mN2723200E4192600,Raster CRS3035RES100mN2723200E4192600,47.6095507,8.2938535,59,47,76,68,50,50
CRS3035RES100mN2725200E4187000,Raster CRS3035RES100mN2725200E4187000,47.6263577,8.2188168,59,53,64,72,50,50
CRS3035RES100mN2724400E4187900,Raster CRS3035RES100mN2724400E4187900,47.6193543,8.2310273,59,55,62,71,50,50
