cell_id,latitude,longitude,solar_score,specific_yield_kwh_kwp,reference_yield_800w_kwh,reference_energy_value_eur,sample_bucket,sample_grid_m,pvgis_version
CRS3035RES100mN2724800E4186500,47.6226504,8.2122951,71,807.4,645.9,153.73,E4186000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2724600E4187200,47.6210027,8.2216615,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2726100E4191400,47.6353925,8.2770356,71,805.9,644.7,153.45,E4191000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2724800E4186600,47.6226721,8.2136243,71,807.4,645.9,153.73,E4186000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2724800E4187400,47.6228454,8.2242578,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2722000E4180800,47.5961940,8.1374429,66,801.7,641.3,152.64,E4180000N2722000,1000,PVGIS 5.3
CRS3035RES100mN2725300E4186800,47.6272140,8.2161271,51,777.3,621.8,147.99,E4186000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2724300E4184600,47.6177359,8.1871989,77,811.3,649.0,154.47,E4184000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2724900E4187600,47.6237882,8.2268853,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2726100E4191800,47.6354762,8.2823538,71,805.9,644.7,153.45,E4191000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2724800E4187300,47.6228238,8.2229286,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2726100E4192200,47.6355596,8.2876719,74,808.8,647.0,154.0,E4192000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2725000E4193500,47.6259320,8.3052814,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2724700E4187300,47.6219241,8.2229596,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725000E4186400,47.6244280,8.2109035,51,777.3,621.8,147.99,E4186000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725100E4193800,47.6268935,8.3092398,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2724300E4184700,47.6177580,8.1885279,77,811.3,649.0,154.47,E4184000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2729400E4198700,47.6665704,8.3731572,80,813.0,650.4,154.8,E4198000N2729000,1000,PVGIS 5.3
CRS3035RES100mN2724900E4187200,47.6237018,8.2215684,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725200E4187000,47.6263577,8.2188168,72,808.0,646.4,153.84,E4187000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2723100E4182900,47.6065626,8.1649892,77,811.1,648.9,154.44,E4182000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2725900E4186400,47.6325253,8.2106225,51,777.3,621.8,147.99,E4186000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2724800E4186400,47.6226286,8.2109659,71,807.4,645.9,153.73,E4186000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2724300E4184500,47.6177139,8.1858698,77,811.3,649.0,154.47,E4184000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725500E4193900,47.6305129,8.3104513,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725700E4186500,47.6307476,8.2120144,51,777.3,621.8,147.99,E4186000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2724400E4187900,47.6193543,8.2310273,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725600E4186600,47.6298697,8.2133749,51,777.3,621.8,147.99,E4186000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2724300E4188000,47.6184761,8.2323872,69,805.0,644.0,153.28,E4188000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2728700E4198300,47.6601930,8.3680353,80,813.8,651.0,154.94,E4198000N2728000,1000,PVGIS 5.3
CRS3035RES100mN2724800E4187500,47.6228670,8.2255870,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2726100E4190700,47.6352455,8.2677289,74,808.7,647.0,153.98,E4190000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2723400E4183500,47.6093953,8.1728662,78,811.7,649.4,154.55,E4183000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2725000E4186800,47.6245149,8.2162204,51,777.3,621.8,147.99,E4186000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725400E4193800,47.6295927,8.3091513,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725500E4193100,47.6303480,8.2998159,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725600E4191100,47.6308310,8.2731977,63,797.6,638.1,151.86,E4191000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725700E4193500,47.6322301,8.3050744,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725800E4191600,47.6327352,8.2797848,63,797.6,638.1,151.86,E4191000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2724200E4187800,47.6175334,8.2297599,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725600E4193900,47.6314127,8.3104218,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2724200E4188000,47.6175764,8.2324180,69,805.0,644.0,153.28,E4188000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725800E4193900,47.6332121,8.3103628,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2726200E4191900,47.6363968,8.2836534,71,805.9,644.7,153.45,E4191000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2723200E4183000,47.6074846,8.1662860,78,811.7,649.4,154.55,E4183000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2726100E4191600,47.6354344,8.2796947,71,805.9,644.7,153.45,E4191000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2721700E4194300,47.5964050,8.3168848,58,792.0,633.6,150.79,E4194000N2721000,1000,PVGIS 5.3
CRS3035RES100mN2723300E4192700,47.6104712,8.2951527,68,804.8,643.8,153.23,E4192000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2724300E4187800,47.6184331,8.2297290,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2724900E4186400,47.6235283,8.2109347,71,807.4,645.9,153.73,E4186000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725300E4193200,47.6285693,8.3012046,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725400E4193300,47.6294896,8.3025044,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725500E4194000,47.6305335,8.3117807,68,804.6,643.7,153.19,E4194000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725800E4190400,47.6324831,8.2638312,73,808.4,646.8,153.93,E4190000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2726000E4191300,47.6344718,8.2757362,71,805.9,644.7,153.45,E4191000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2726000E4192300,47.6346807,8.2890314,74,808.8,647.0,154.0,E4192000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2726200E4191200,47.6362503,8.2743464,71,805.9,644.7,153.45,E4191000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2727200E4196300,47.6462969,8.3418657,64,800.6,640.4,152.43,E4196000N2727000,1000,PVGIS 5.3
CRS3035RES100mN2729400E4198600,47.6665506,8.3718268,80,813.0,650.4,154.8,E4198000N2729000,1000,PVGIS 5.3
CRS3035RES100mN2723200E4192600,47.6095507,8.2938535,68,804.8,643.8,153.23,E4192000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2724700E4185200,47.6214667,8.1950473,78,811.8,649.5,154.57,E4185000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2720800E4193500,47.5881430,8.3065221,56,789.3,631.5,150.29,E4193000N2720000,1000,PVGIS 5.3
CRS3035RES100mN2720900E4193400,47.5890222,8.3051643,56,789.3,631.5,150.29,E4193000N2720000,1000,PVGIS 5.3
CRS3035RES100mN2725600E4193100,47.6312478,8.2997862,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725800E4193200,47.6330679,8.3010564,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2727300E4196500,47.6472369,8.3444965,64,800.6,640.4,152.43,E4196000N2727000,1000,PVGIS 5.3
CRS3035RES100mN2726100E4191700,47.6354553,8.2810242,71,805.9,644.7,153.45,E4191000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2724900E4185600,47.6233538,8.2003011,78,811.8,649.5,154.57,E4185000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725100E4187100,47.6254796,8.2201771,72,808.0,646.4,153.84,E4187000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725800E4191400,47.6326934,8.2771258,63,797.6,638.1,151.86,E4191000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2720600E4193600,47.5863641,8.3079094,56,789.3,631.5,150.29,E4193000N2720000,1000,PVGIS 5.3
CRS3035RES100mN2725500E4190500,47.6298050,8.2652515,73,808.4,646.8,153.93,E4190000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2722000E4180700,47.5961713,8.1361144,66,801.7,641.3,152.64,E4180000N2722000,1000,PVGIS 5.3
CRS3035RES100mN2723500E4183400,47.6102727,8.1715055,78,811.7,649.4,154.55,E4183000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2723500E4192500,47.6122292,8.2924353,68,804.8,643.8,153.23,E4192000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2726000E4192200,47.6346599,8.2877018,74,808.8,647.0,154.0,E4192000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2726100E4191300,47.6353716,8.2757061,71,805.9,644.7,153.45,E4191000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2724800E4186700,47.6226938,8.2149535,71,807.4,645.9,153.73,E4186000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725000E4186300,47.6244063,8.2095743,51,777.3,621.8,147.99,E4186000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2724700E4186500,47.6217507,8.2123263,71,807.4,645.9,153.73,E4186000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2724900E4185900,47.6234193,8.2042887,78,811.8,649.5,154.57,E4185000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2724900E4187500,47.6237667,8.2255561,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2724900E4187700,47.6238098,8.2282145,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725900E4190700,47.6334460,8.2677894,73,808.4,646.8,153.93,E4190000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2726300E4191100,47.6371290,8.2729867,71,805.9,644.7,153.45,E4191000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2723600E4183400,47.6111724,8.1714736,78,811.7,649.4,154.55,E4183000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2725100E4187000,47.6254580,8.2188478,72,808.0,646.4,153.84,E4187000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2723200E4192500,47.6095300,8.2925247,68,804.8,643.8,153.23,E4192000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2724700E4187200,47.6219024,8.2216305,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725400E4193900,47.6296132,8.3104807,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725500E4186700,47.6289917,8.2147355,51,777.3,621.8,147.99,E4186000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725500E4194100,47.6305540,8.3131101,68,804.6,643.7,153.19,E4194000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725600E4194000,47.6314332,8.3117512,68,804.6,643.7,153.19,E4194000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725700E4193300,47.6321888,8.3024155,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2726100E4190800,47.6352665,8.2690584,74,808.7,647.0,153.98,E4190000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2728500E4198000,47.6583339,8.3641018,80,813.8,651.0,154.94,E4198000N2728000,1000,PVGIS 5.3
CRS3035RES100mN2724000E4187900,47.6157555,8.2311507,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2724400E4187700,47.6193113,8.2283690,71,806.5,645.2,153.55,E4187000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725300E4193900,47.6287135,8.3105102,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2723400E4192400,47.6113087,8.2911362,68,804.8,643.8,153.23,E4192000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2724900E4194900,47.6253192,8.3239210,64,799.5,639.6,152.22,E4194000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725700E4190600,47.6316255,8.2665204,73,808.4,646.8,153.93,E4190000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725700E4193900,47.6323124,8.3103923,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2723100E4183000,47.6065849,8.1663180,78,811.7,649.4,154.55,E4183000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2725500E4193200,47.6303687,8.3011453,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2727500E4196800,47.6490967,8.3484284,64,800.6,640.4,152.43,E4196000N2727000,1000,PVGIS 5.3
CRS3035RES100mN2723400E4192500,47.6113294,8.2924651,68,804.8,643.8,153.23,E4192000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2723600E4183500,47.6111947,8.1728025,78,811.7,649.4,154.55,E4183000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2724400E4184800,47.6186797,8.1898254,77,811.3,649.0,154.47,E4184000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725100E4193500,47.6268317,8.3052519,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725600E4193800,47.6313921,8.3090923,70,805.6,644.4,153.38,E4193000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725800E4186400,47.6316256,8.2106538,51,777.3,621.8,147.99,E4186000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2726100E4191500,47.6354135,8.2783652,71,805.9,644.7,153.45,E4191000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2726100E4190400,47.6351822,8.2637403,74,808.7,647.0,153.98,E4190000N2726000,1000,PVGIS 5.3
CRS3035RES100mN2718900E4198600,47.5720766,8.3748063,59,792.5,634.0,150.89,E4198000N2718000,1000,PVGIS 5.3
CRS3035RES100mN2722000E4180900,47.5962166,8.1387713,66,801.7,641.3,152.64,E4180000N2722000,1000,PVGIS 5.3
CRS3035RES100mN2723300E4183400,47.6084734,8.1715693,78,811.7,649.4,154.55,E4183000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2724700E4184900,47.6214008,8.1910598,77,811.3,649.0,154.47,E4184000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725700E4191200,47.6317517,8.2744970,63,797.6,638.1,151.86,E4191000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725800E4190600,47.6325252,8.2664901,73,808.4,646.8,153.93,E4190000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2719100E4198600,47.5738761,8.3747497,57,790.4,632.3,150.5,E4198000N2719000,1000,PVGIS 5.3
CRS3035RES100mN2723600E4192900,47.6132118,8.2977214,68,804.8,643.8,153.23,E4192000N2723000,1000,PVGIS 5.3
CRS3035RES100mN2724600E4184900,47.6205011,8.1910914,77,811.3,649.0,154.47,E4184000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725000E4185800,47.6242972,8.2029281,61,796.3,637.0,151.61,E4185000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2725000E4195000,47.6262393,8.3252211,67,803.2,642.5,152.92,E4195000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2724800E4185300,47.6223883,8.1963450,78,811.8,649.5,154.57,E4185000N2724000,1000,PVGIS 5.3
CRS3035RES100mN2725000E4187100,47.6245799,8.2202081,72,808.0,646.4,153.84,E4187000N2725000,1000,PVGIS 5.3
CRS3035RES100mN2726200E4190400,47.6360819,8.2637100,74,808.7,647.0,153.98,E4190000N2726000,1000,PVGIS 5.3
