cell_id,latitude,longitude,housing_units,mfh_share,building_count_zensus,mfh_buildings_zensus,source
CRS3035RES100mN2724800E4186500,47.6226504,8.2122951,98.50,0.5484,31,17,Zensus 2022 / Destatis
CRS3035RES100mN2724600E4187200,47.6210027,8.2216615,94.50,0.7273,22,16,Zensus 2022 / Destatis
CRS3035RES100mN2726100E4191400,47.6353925,8.2770356,87.50,0.2619,42,11,Zensus 2022 / Destatis
CRS3035RES100mN2724800E4186600,47.6226721,8.2136243,86.00,0.4667,30,14,Zensus 2022 / Destatis
CRS3035RES100mN2724800E4187400,47.6228454,8.2242578,85.50,1.0000,14,14,Zensus 2022 / Destatis
CRS3035RES100mN2722000E4180800,47.5961940,8.1374429,80.50,0.7143,14,10,Zensus 2022 / Destatis
CRS3035RES100mN2725300E4186800,47.6272140,8.2161271,78.00,0.7857,14,11,Zensus 2022 / Destatis
CRS3035RES100mN2724300E4184600,47.6177359,8.1871989,72.00,1.0000,12,12,Zensus 2022 / Destatis
CRS3035RES100mN2724900E4187600,47.6237882,8.2268853,72.00,1.0000,13,13,Zensus 2022 / Destatis
CRS3035RES100mN2726100E4191800,47.6354762,8.2823538,71.50,0.7500,16,12,Zensus 2022 / Destatis
CRS3035RES100mN2724800E4187300,47.6228238,8.2229286,70.50,0.7692,13,10,Zensus 2022 / Destatis
CRS3035RES100mN2726100E4192200,47.6355596,8.2876719,70.50,0.7500,12,9,Zensus 2022 / Destatis
CRS3035RES100mN2725000E4193500,47.6259320,8.3052814,68.50,0.5882,17,10,Zensus 2022 / Destatis
CRS3035RES100mN2724700E4187300,47.6219241,8.2229596,67.50,1.0000,9,9,Zensus 2022 / Destatis
CRS3035RES100mN2725000E4186400,47.6244280,8.2109035,67.50,0.6250,16,10,Zensus 2022 / Destatis
CRS3035RES100mN2725100E4193800,47.6268935,8.3092398,64.50,0.7500,12,9,Zensus 2022 / Destatis
CRS3035RES100mN2724300E4184700,47.6177580,8.1885279,63.00,1.0000,14,14,Zensus 2022 / Destatis
CRS3035RES100mN2729400E4198700,47.6665704,8.3731572,63.00,1.0000,7,7,Zensus 2022 / Destatis
CRS3035RES100mN2724900E4187200,47.6237018,8.2215684,61.50,0.4000,20,8,Zensus 2022 / Destatis
CRS3035RES100mN2725200E4187000,47.6263577,8.2188168,61.00,0.3500,20,7,Zensus 2022 / Destatis
CRS3035RES100mN2723100E4182900,47.6065626,8.1649892,60.00,0.6000,15,9,Zensus 2022 / Destatis
CRS3035RES100mN2725900E4186400,47.6325253,8.2106225,60.00,0.7273,11,8,Zensus 2022 / Destatis
CRS3035RES100mN2724800E4186400,47.6226286,8.2109659,59.50,0.2593,27,7,Zensus 2022 / Destatis
CRS3035RES100mN2724300E4184500,47.6177139,8.1858698,58.50,1.0000,8,8,Zensus 2022 / Destatis
CRS3035RES100mN2725500E4193900,47.6305129,8.3104513,58.50,1.0000,8,8,Zensus 2022 / Destatis
CRS3035RES100mN2725700E4186500,47.6307476,8.2120144,58.50,0.3158,19,6,Zensus 2022 / Destatis
CRS3035RES100mN2724400E4187900,47.6193543,8.2310273,57.50,0.5000,16,8,Zensus 2022 / Destatis
CRS3035RES100mN2725600E4186600,47.6298697,8.2133749,57.00,0.7500,12,9,Zensus 2022 / Destatis
CRS3035RES100mN2724300E4188000,47.6184761,8.2323872,56.50,0.5000,14,7,Zensus 2022 / Destatis
CRS3035RES100mN2728700E4198300,47.6601930,8.3680353,56.50,0.3333,18,6,Zensus 2022 / Destatis
CRS3035RES100mN2724800E4187500,47.6228670,8.2255870,55.50,0.7000,10,7,Zensus 2022 / Destatis
CRS3035RES100mN2726100E4190700,47.6352455,8.2677289,54.50,0.3750,16,6,Zensus 2022 / Destatis
CRS3035RES100mN2723400E4183500,47.6093953,8.1728662,54.00,0.6250,16,10,Zensus 2022 / Destatis
CRS3035RES100mN2725000E4186800,47.6245149,8.2162204,54.00,1.0000,9,9,Zensus 2022 / Destatis
CRS3035RES100mN2725400E4193800,47.6295927,8.3091513,54.00,1.0000,6,6,Zensus 2022 / Destatis
CRS3035RES100mN2725500E4193100,47.6303480,8.2998159,54.00,1.0000,6,6,Zensus 2022 / Destatis
CRS3035RES100mN2725600E4191100,47.6308310,8.2731977,54.00,1.0000,9,9,Zensus 2022 / Destatis
CRS3035RES100mN2725700E4193500,47.6322301,8.3050744,54.00,1.0000,6,6,Zensus 2022 / Destatis
CRS3035RES100mN2725800E4191600,47.6327352,8.2797848,54.00,1.0000,6,6,Zensus 2022 / Destatis
CRS3035RES100mN2724200E4187800,47.6175334,8.2297599,53.50,0.3158,19,6,Zensus 2022 / Destatis
CRS3035RES100mN2725600E4193900,47.6314127,8.3104218,53.50,0.4286,14,6,Zensus 2022 / Destatis
CRS3035RES100mN2724200E4188000,47.6175764,8.2324180,52.50,0.3333,18,6,Zensus 2022 / Destatis
CRS3035RES100mN2725800E4193900,47.6332121,8.3103628,52.50,0.4000,15,6,Zensus 2022 / Destatis
CRS3035RES100mN2726200E4191900,47.6363968,8.2836534,52.50,0.4286,14,6,Zensus 2022 / Destatis
CRS3035RES100mN2723200E4183000,47.6074846,8.1662860,51.50,0.3529,17,6,Zensus 2022 / Destatis
CRS3035RES100mN2726100E4191600,47.6354344,8.2796947,51.00,0.4706,17,8,Zensus 2022 / Destatis
CRS3035RES100mN2721700E4194300,47.5964050,8.3168848,50.00,0.6667,15,10,Zensus 2022 / Destatis
CRS3035RES100mN2723300E4192700,47.6104712,8.2951527,49.50,0.5000,12,6,Zensus 2022 / Destatis
CRS3035RES100mN2724300E4187800,47.6184331,8.2297290,49.50,1.0000,7,7,Zensus 2022 / Destatis
CRS3035RES100mN2724900E4186400,47.6235283,8.2109347,49.50,0.5000,12,6,Zensus 2022 / Destatis
CRS3035RES100mN2725300E4193200,47.6285693,8.3012046,49.50,0.5000,12,6,Zensus 2022 / Destatis
CRS3035RES100mN2725400E4193300,47.6294896,8.3025044,49.50,0.5000,12,6,Zensus 2022 / Destatis
CRS3035RES100mN2725500E4194000,47.6305335,8.3117807,49.50,1.0000,7,7,Zensus 2022 / Destatis
CRS3035RES100mN2725800E4190400,47.6324831,8.2638312,49.50,1.0000,8,8,Zensus 2022 / Destatis
CRS3035RES100mN2726000E4191300,47.6344718,8.2757362,49.50,0.6000,15,9,Zensus 2022 / Destatis
CRS3035RES100mN2726000E4192300,47.6346807,8.2890314,49.50,1.0000,11,11,Zensus 2022 / Destatis
CRS3035RES100mN2726200E4191200,47.6362503,8.2743464,49.50,1.0000,7,7,Zensus 2022 / Destatis
CRS3035RES100mN2727200E4196300,47.6462969,8.3418657,49.50,1.0000,7,7,Zensus 2022 / Destatis
CRS3035RES100mN2729400E4198600,47.6665506,8.3718268,49.50,1.0000,7,7,Zensus 2022 / Destatis
CRS3035RES100mN2723200E4192600,47.6095507,8.2938535,48.50,0.4286,14,6,Zensus 2022 / Destatis
CRS3035RES100mN2724700E4185200,47.6214667,8.1950473,48.50,0.3500,20,7,Zensus 2022 / Destatis
CRS3035RES100mN2720800E4193500,47.5881430,8.3065221,48.00,0.7000,10,7,Zensus 2022 / Destatis
CRS3035RES100mN2720900E4193400,47.5890222,8.3051643,48.00,0.6250,8,5,Zensus 2022 / Destatis
CRS3035RES100mN2725600E4193100,47.6312478,8.2997862,48.00,0.7000,10,7,Zensus 2022 / Destatis
CRS3035RES100mN2725800E4193200,47.6330679,8.3010564,48.00,0.7000,10,7,Zensus 2022 / Destatis
CRS3035RES100mN2727300E4196500,47.6472369,8.3444965,47.50,0.4615,13,6,Zensus 2022 / Destatis
CRS3035RES100mN2726100E4191700,47.6354553,8.2810242,47.00,0.5333,15,8,Zensus 2022 / Destatis
CRS3035RES100mN2724900E4185600,47.6233538,8.2003011,46.50,0.6000,15,9,Zensus 2022 / Destatis
CRS3035RES100mN2725100E4187100,47.6254796,8.2201771,46.50,0.6667,9,6,Zensus 2022 / Destatis
CRS3035RES100mN2725800E4191400,47.6326934,8.2771258,46.00,0.3636,11,4,Zensus 2022 / Destatis
CRS3035RES100mN2720600E4193600,47.5863641,8.3079094,45.50,0.5455,11,6,Zensus 2022 / Destatis
CRS3035RES100mN2725500E4190500,47.6298050,8.2652515,45.50,0.5000,14,7,Zensus 2022 / Destatis
CRS3035RES100mN2722000E4180700,47.5961713,8.1361144,45.00,0.1765,17,3,Zensus 2022 / Destatis
CRS3035RES100mN2723500E4183400,47.6102727,8.1715055,45.00,1.0000,7,7,Zensus 2022 / Destatis
CRS3035RES100mN2723500E4192500,47.6122292,8.2924353,45.00,1.0000,5,5,Zensus 2022 / Destatis
CRS3035RES100mN2726000E4192200,47.6346599,8.2877018,45.00,1.0000,5,5,Zensus 2022 / Destatis
CRS3035RES100mN2726100E4191300,47.6353716,8.2757061,45.00,0.3158,19,6,Zensus 2022 / Destatis
CRS3035RES100mN2724800E4186700,47.6226938,8.2149535,44.50,0.6923,13,9,Zensus 2022 / Destatis
CRS3035RES100mN2725000E4186300,47.6244063,8.2095743,44.50,0.6000,10,6,Zensus 2022 / Destatis
CRS3035RES100mN2724700E4186500,47.6217507,8.2123263,44.00,0.2143,14,3,Zensus 2022 / Destatis
CRS3035RES100mN2724900E4185900,47.6234193,8.2042887,43.50,0.6667,9,6,Zensus 2022 / Destatis
CRS3035RES100mN2724900E4187500,47.6237667,8.2255561,43.00,0.5333,15,8,Zensus 2022 / Destatis
CRS3035RES100mN2724900E4187700,47.6238098,8.2282145,43.00,0.2727,11,3,Zensus 2022 / Destatis
CRS3035RES100mN2725900E4190700,47.6334460,8.2677894,43.00,0.5333,15,8,Zensus 2022 / Destatis
CRS3035RES100mN2726300E4191100,47.6371290,8.2729867,43.00,0.1875,16,3,Zensus 2022 / Destatis
CRS3035RES100mN2723600E4183400,47.6111724,8.1714736,42.00,0.7273,11,8,Zensus 2022 / Destatis
CRS3035RES100mN2725100E4187000,47.6254580,8.2188478,41.00,0.2143,14,3,Zensus 2022 / Destatis
CRS3035RES100mN2723200E4192500,47.6095300,8.2925247,40.50,0.5385,13,7,Zensus 2022 / Destatis
CRS3035RES100mN2724700E4187200,47.6219024,8.2216305,40.50,1.0000,6,6,Zensus 2022 / Destatis
CRS3035RES100mN2725400E4193900,47.6296132,8.3104807,40.50,1.0000,6,6,Zensus 2022 / Destatis
CRS3035RES100mN2725500E4186700,47.6289917,8.2147355,40.50,0.4375,16,7,Zensus 2022 / Destatis
CRS3035RES100mN2725500E4194100,47.6305540,8.3131101,40.50,1.0000,6,6,Zensus 2022 / Destatis
CRS3035RES100mN2725600E4194000,47.6314332,8.3117512,40.50,1.0000,6,6,Zensus 2022 / Destatis
CRS3035RES100mN2725700E4193300,47.6321888,8.3024155,40.50,0.5385,13,7,Zensus 2022 / Destatis
