cell_id,latitude,longitude,building_count,total_footprint_m2,avg_footprint_m2,coverage_ratio,building_fit,source
CRS3035RES100mN2722000E4180800,47.5961940,8.1374429,21,3833.2,182.5,0.3833,0.9981,LGL BW / ALKIS Gebäude
CRS3035RES100mN2723700E4192900,47.6141116,8.2976917,21,3775.6,179.8,0.3776,0.9978,LGL BW / ALKIS Gebäude
CRS3035RES100mN2724300E4187800,47.6184331,8.2297290,20,3765.0,188.2,0.3765,0.9968,LGL BW / ALKIS Gebäude
CRS3035RES100mN2726600E4192200,47.6400582,8.2875225,22,3749.9,170.5,0.3750,0.9954,LGL BW / ALKIS Gebäude
CRS3035RES100mN2724200E4188000,47.6175764,8.2324180,37,3724.3,100.7,0.3724,0.9930,LGL BW / ALKIS Gebäude
CRS3035RES100mN2726100E4191600,47.6354344,8.2796947,29,3943.2,136.0,0.3943,0.9919,LGL BW / ALKIS Gebäude
CRS3035RES100mN2726200E4191700,47.6363550,8.2809942,20,3695.7,184.8,0.3696,0.9904,LGL BW / ALKIS Gebäude
CRS3035RES100mN2724400E4195100,47.6208612,8.3267255,26,3981.5,153.1,0.3981,0.9898,LGL BW / ALKIS Gebäude
CRS3035RES100mN2725300E4186800,47.6272140,8.2161271,20,4028.6,201.4,0.4029,0.9871,LGL BW / ALKIS Gebäude
CRS3035RES100mN2728600E4198200,47.6592734,8.3667336,20,3655.5,182.8,0.3655,0.9867,LGL BW / ALKIS Gebäude
CRS3035RES100mN2725000E4186400,47.6244280,8.2109035,27,4045.4,149.8,0.4045,0.9861,LGL BW / ALKIS Gebäude
CRS3035RES100mN2721700E4194800,47.5965071,8.3235275,32,3644.3,113.9,0.3644,0.9857,LGL BW / ALKIS Gebäude
CRS3035RES100mN2726000E4191100,47.6344299,8.2730772,19,3637.9,191.5,0.3638,0.9851,LGL BW / ALKIS Gebäude
CRS3035RES100mN2723500E4192600,47.6122499,8.2937643,20,3601.1,180.1,0.3601,0.9817,LGL BW / ALKIS Gebäude
CRS3035RES100mN2726100E4191200,47.6353506,8.2743766,21,4140.6,197.2,0.4141,0.9808,LGL BW / ALKIS Gebäude
CRS3035RES100mN2725600E4193100,47.6312478,8.2997862,26,4144.8,159.4,0.4145,0.9805,LGL BW / ALKIS Gebäude
CRS3035RES100mN2724700E4187300,47.6219241,8.2229596,18,4164.1,231.3,0.4164,0.9794,LGL BW / ALKIS Gebäude
CRS3035RES100mN2724700E4186500,47.6217507,8.2123263,18,4286.7,238.2,0.4287,0.9725,LGL BW / ALKIS Gebäude
CRS3035RES100mN2726900E4189100,47.6421040,8.2462117,36,4311.0,119.7,0.4311,0.9712,LGL BW / ALKIS Gebäude
