cell_id,latitude,longitude,building_count,total_footprint_m2,avg_footprint_m2,coverage_ratio,building_fit,source
CRS3035RES100mN3098800E4106900,50.9608776,6.9523636,34,3801.2,111.8,0.3801,0.9999,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099800E4107000,50.9698952,6.9531965,26,3802.3,146.2,0.3802,0.9999,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3103000E4104900,50.9978411,6.9214164,18,3801.3,211.2,0.3801,0.9999,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095200E4106400,50.9283617,6.9473779,19,3802.2,200.1,0.3802,0.9999,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097900E4107000,50.9528329,6.9543162,34,3803.8,111.9,0.3804,0.9998,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097600E4117800,50.9540777,7.1080769,31,3802.7,122.7,0.3803,0.9998,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3091700E4112100,50.8990382,7.0304034,23,3798.3,165.1,0.3798,0.9998,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095400E4104500,50.9294420,6.9202547,33,3796.6,115.0,0.3797,0.9997,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099200E4107300,50.9646193,6.9578174,29,3796.9,130.9,0.3797,0.9997,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095700E4106300,50.9328142,6.9456614,33,3806.7,115.4,0.3807,0.9996,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3088000E4110000,50.8650401,7.0027152,23,3795.9,165.0,0.3796,0.9996,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3110000E4114100,51.0641111,7.0483745,36,3794.7,105.4,0.3795,0.9995,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3107500E4102600,51.0373749,6.8859641,25,3808.0,152.3,0.3808,0.9995,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094300E4107500,50.9206908,6.9635403,32,3808.2,119.0,0.3808,0.9995,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097500E4106900,50.9492034,6.9531299,31,3793.7,122.4,0.3794,0.9994,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094300E4105400,50.9199037,6.9336984,23,3793.9,165.0,0.3794,0.9994,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3106600E4108600,51.0315573,6.9719718,21,3792.7,180.6,0.3793,0.9993,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094800E4107400,50.9251437,6.9618257,34,3812.3,112.1,0.3812,0.9993,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3089700E4111400,50.8808211,7.0216103,38,3813.2,100.3,0.3813,0.9993,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095900E4110100,50.9360235,6.9995612,23,3814.9,165.9,0.3815,0.9992,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098400E4104200,50.9562684,6.9142014,31,3816.8,123.1,0.3817,0.9991,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3109900E4112800,51.0627400,7.0299005,33,3815.6,115.6,0.3816,0.9991,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098400E4110900,50.9587691,7.0094883,32,3790.7,118.5,0.3791,0.9991,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100000E4107000,50.9716913,6.9530785,18,3790.5,210.6,0.3791,0.9991,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3104000E4102500,51.0059079,6.8866524,27,3790.0,140.4,0.3790,0.9991,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3085500E4102600,50.8398182,6.8991802,36,3788.7,105.2,0.3789,0.9990,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095900E4107100,50.9349099,6.9569153,27,3818.0,141.4,0.3818,0.9990,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3103500E4096300,50.9990130,6.7987020,27,3820.0,141.5,0.3820,0.9989,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096000E4107300,50.9358826,6.9596995,28,3819.6,136.4,0.3820,0.9989,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3102800E4101500,50.9947490,6.8731432,32,3788.5,118.4,0.3789,0.9989,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3089900E4102100,50.8791396,6.8894494,20,3821.6,191.1,0.3822,0.9988,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3088100E4112800,50.8669621,7.0424021,33,3821.0,115.8,0.3821,0.9988,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094900E4107300,50.9260043,6.9603458,26,3823.4,147.1,0.3823,0.9987,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094000E4105100,50.9170966,6.9296133,21,3786.3,180.3,0.3786,0.9987,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3087900E4110700,50.8643993,7.0127086,34,3823.5,112.5,0.3824,0.9987,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099400E4098900,50.9632142,6.8382203,33,3786.3,114.7,0.3786,0.9987,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097400E4109300,50.9491987,6.9873151,20,3824.0,191.2,0.3824,0.9986,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099800E4106900,50.9698578,6.9517739,29,3826.3,131.9,0.3826,0.9985,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3103000E4097100,50.9948375,6.8103978,27,3826.4,141.7,0.3826,0.9985,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3112200E4103300,51.0798465,6.8931038,19,3826.3,201.4,0.3826,0.9985,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097200E4106300,50.9462845,6.9447756,31,3829.7,123.5,0.3830,0.9983,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3101100E4107800,50.9818684,6.9638132,23,3829.4,166.5,0.3829,0.9983,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097000E4104600,50.9438479,6.9207237,31,3831.8,123.6,0.3832,0.9982,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099700E4110800,50.9704070,7.0073134,31,3832.6,123.6,0.3833,0.9982,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096400E4116300,50.9427657,7.0874204,32,3831.9,119.7,0.3832,0.9982,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093700E4105100,50.9144025,6.9297912,34,3778.9,111.1,0.3779,0.9981,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095600E4105400,50.9315778,6.9329280,31,3832.9,123.6,0.3833,0.9981,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093500E4104800,50.9124933,6.9256474,30,3779.3,126.0,0.3779,0.9981,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094100E4107400,50.9188574,6.9622366,29,3838.0,132.3,0.3838,0.9979,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094000E4106900,50.9177726,6.9551904,26,3838.0,147.6,0.3838,0.9979,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099300E4107100,50.9654426,6.9549137,33,3838.2,116.3,0.3838,0.9978,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3111000E4115000,51.0734174,7.0606337,26,3774.9,145.2,0.3775,0.9977,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099700E4115200,50.9720078,7.0699106,26,3840.3,147.7,0.3840,0.9977,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3091100E4103500,50.8904488,6.9086102,19,3774.7,198.7,0.3775,0.9977,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3109800E4111000,51.0611821,7.0043006,31,3843.1,124.0,0.3843,0.9976,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096500E4110200,50.9414486,7.0006348,30,3773.9,125.8,0.3774,0.9976,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3084500E4102800,50.8309142,6.9026142,34,3772.8,111.0,0.3773,0.9975,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3106100E4102500,51.0247652,6.8853851,27,3773.4,139.8,0.3773,0.9975,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098300E4110800,50.9578343,7.0081239,23,3771.4,164.0,0.3771,0.9974,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100500E4106800,50.9761064,6.9499382,29,3770.3,130.0,0.3770,0.9973,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3085000E4103400,50.8356322,6.9108264,19,3847.5,202.5,0.3847,0.9973,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095700E4106100,50.9327392,6.9428186,25,3850.8,154.0,0.3851,0.9971,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3106600E4109200,51.0317802,6.9805187,21,3769.0,179.5,0.3769,0.9971,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3110400E4112000,51.0669376,7.0182075,34,3852.3,113.3,0.3852,0.9970,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095800E4105500,50.9334115,6.9342308,37,3766.4,101.8,0.3766,0.9969,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094900E4106200,50.9255926,6.9447124,32,3859.6,120.6,0.3860,0.9966,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098300E4110100,50.9575766,6.9981683,18,3860.8,214.5,0.3861,0.9966,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3101700E4106600,50.9868075,6.9463834,38,3860.9,101.6,0.3861,0.9966,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098600E4103700,50.9578746,6.9069711,26,3860.3,148.5,0.3860,0.9966,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097000E4104800,50.9439235,6.9235672,26,3862.0,148.5,0.3862,0.9965,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093600E4115200,50.9172245,7.0733646,28,3862.5,137.9,0.3862,0.9965,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100300E4115300,50.9774323,7.0709932,38,3774.5,99.3,0.3775,0.9963,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097800E4104400,50.9509562,6.9174034,22,3865.8,175.7,0.3866,0.9963,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099000E4107300,50.9628233,6.9579351,38,3867.8,101.8,0.3868,0.9962,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094100E4104500,50.9177680,6.9210282,18,3757.5,208.7,0.3757,0.9961,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093300E4106100,50.9111867,6.9442359,20,3868.7,193.4,0.3869,0.9961,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097300E4098200,50.9440850,6.8295524,23,3869.9,168.3,0.3870,0.9961,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096100E4110500,50.9379669,7.0051316,36,3756.8,104.4,0.3757,0.9960,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095800E4111700,50.9357129,7.0223640,20,3756.4,187.8,0.3756,0.9960,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097000E4104500,50.9438101,6.9193020,19,3871.6,203.8,0.3872,0.9960,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093400E4104900,50.9116330,6.9271276,20,3755.1,187.8,0.3755,0.9959,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099400E4106700,50.9661908,6.9491649,31,3872.2,124.9,0.3872,0.9959,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095600E4107200,50.9322532,6.9585131,33,3872.3,117.3,0.3872,0.9959,Geobasis NRW / ALKIS vereinfacht
