cell_id,name,latitude,longitude,potential_score,housing_density_score,building_fit_score,solar_score,market_gap_score,campaign_score
CRS3035RES100mN3084600E4103600,Raster CRS3035RES100mN3084600E4103600,50.8321159,6.9139012,82,100,98,76,50,50
CRS3035RES100mN3096700E4098300,Raster CRS3035RES100mN3096700E4098300,50.9387363,6.8313417,81,100,99,68,50,50
CRS3035RES100mN3096700E4102400,Raster CRS3035RES100mN3096700E4102400,50.9403175,6.8896262,81,100,96,72,50,50
CRS3035RES100mN3094500E4104400,Raster CRS3035RES100mN3094500E4104400,50.9213222,6.9193692,80,100,98,63,50,50
CRS3035RES100mN3095400E4104500,Raster CRS3035RES100mN3095400E4104500,50.929442,6.9202547,80,100,100,63,50,50
CRS3035RES100mN3096200E4102900,Raster CRS3035RES100mN3096200E4102900,50.9360184,6.8970343,80,95,99,72,50,50
CRS3035RES100mN3095300E4106600,Raster CRS3035RES100mN3095300E4106600,50.9293346,6.9501615,80,100,99,63,50,50
CRS3035RES100mN3095800E4106500,Raster CRS3035RES100mN3095800E4106500,50.9337873,6.9484453,80,100,99,63,50,50
CRS3035RES100mN3097100E4106900,Raster CRS3035RES100mN3097100E4106900,50.9456113,6.9533655,80,100,98,64,50,50
CRS3035RES100mN3093600E4104900,Raster CRS3035RES100mN3093600E4104900,50.9134291,6.9270088,80,100,99,63,50,50
CRS3035RES100mN3091100E4109600,Raster CRS3035RES100mN3091100E4109600,50.8927326,6.9952408,80,100,98,63,50,50
CRS3035RES100mN3094700E4104700,Raster CRS3035RES100mN3094700E4104700,50.9232316,6.9235135,80,100,99,63,50,50
CRS3035RES100mN3095100E4103800,Raster CRS3035RES100mN3095100E4103800,50.9264828,6.9104847,80,100,99,63,50,50
CRS3035RES100mN3095600E4105400,Raster CRS3035RES100mN3095600E4105400,50.9315778,6.932928,80,100,100,63,50,50
CRS3035RES100mN3094900E4103700,Raster CRS3035RES100mN3094900E4103700,50.9246488,6.9091829,80,100,98,63,50,50
CRS3035RES100mN3086300E4102600,Raster CRS3035RES100mN3086300E4102600,50.8470022,6.8987021,80,100,89,77,50,50
CRS3035RES100mN3094300E4105200,Raster CRS3035RES100mN3094300E4105200,50.9198283,6.9308563,80,100,98,63,50,50
CRS3035RES100mN3094100E4104500,Raster CRS3035RES100mN3094100E4104500,50.917768,6.9210282,80,100,100,63,50,50
CRS3035RES100mN3093500E4106000,Raster CRS3035RES100mN3093500E4106000,50.9129452,6.9426971,80,100,98,63,50,50
CRS3035RES100mN3093700E4105100,Raster CRS3035RES100mN3093700E4105100,50.9144025,6.9297912,80,100,100,63,50,50
CRS3035RES100mN3093400E4104900,Raster CRS3035RES100mN3093400E4104900,50.911633,6.9271276,80,100,100,63,50,50
CRS3035RES100mN3097400E4104200,Raster CRS3035RES100mN3097400E4104200,50.9472884,6.9147981,80,100,98,64,50,50
CRS3035RES100mN3095700E4104500,Raster CRS3035RES100mN3095700E4104500,50.9321361,6.9200761,80,100,98,63,50,50
CRS3035RES100mN3095000E4105700,Raster CRS3035RES100mN3095000E4105700,50.9263027,6.9375472,80,100,98,63,50,50
CRS3035RES100mN3096800E4103100,Raster CRS3035RES100mN3096800E4103100,50.9414826,6.8995176,80,100,97,64,50,50
CRS3035RES100mN3091400E4103400,Raster CRS3035RES100mN3091400E4103400,50.8931049,6.907011,80,100,99,66,50,50
CRS3035RES100mN3097200E4106300,Raster CRS3035RES100mN3097200E4106300,50.9462845,6.9447756,80,100,100,64,50,50
CRS3035RES100mN3096700E4103100,Raster CRS3035RES100mN3096700E4103100,50.9405846,6.8995776,80,100,98,64,50,50
CRS3035RES100mN3093200E4106100,Raster CRS3035RES100mN3093200E4106100,50.9102887,6.944295,80,100,98,63,50,50
CRS3035RES100mN3097600E4106900,Raster CRS3035RES100mN3097600E4106900,50.9501014,6.9530709,80,100,100,64,50,50
CRS3035RES100mN3092700E4106200,Raster CRS3035RES100mN3092700E4106200,50.9058361,6.9460106,80,100,99,63,50,50
CRS3035RES100mN3097900E4106800,Raster CRS3035RES100mN3097900E4106800,50.9527581,6.9514721,80,100,99,64,50,50
CRS3035RES100mN3093600E4105100,Raster CRS3035RES100mN3093600E4105100,50.9135045,6.9298505,80,100,98,63,50,50
CRS3035RES100mN3093900E4104600,Raster CRS3035RES100mN3093900E4104600,50.9160098,6.922568,80,100,98,63,50,50
CRS3035RES100mN3095500E4105600,Raster CRS3035RES100mN3095500E4105600,50.9307551,6.9358299,80,100,98,63,50,50
CRS3035RES100mN3093300E4106100,Raster CRS3035RES100mN3093300E4106100,50.9111867,6.9442359,80,100,100,63,50,50
CRS3035RES100mN3094900E4105700,Raster CRS3035RES100mN3094900E4105700,50.9254047,6.9376064,80,100,98,63,50,50
CRS3035RES100mN3095800E4105500,Raster CRS3035RES100mN3095800E4105500,50.9334115,6.9342308,80,100,100,63,50,50
CRS3035RES100mN3094900E4103900,Raster CRS3035RES100mN3094900E4103900,50.9247247,6.9120252,80,100,99,63,50,50
CRS3035RES100mN3094300E4104000,Raster CRS3035RES100mN3094300E4104000,50.9193747,6.9138042,80,100,98,63,50,50
CRS3035RES100mN3105800E4102300,Raster CRS3035RES100mN3105800E4102300,51.0219947,6.882718,80,100,98,65,50,50
CRS3035RES100mN3093700E4104900,Raster CRS3035RES100mN3093700E4104900,50.9143271,6.9269495,80,100,98,63,50,50
CRS3035RES100mN3094200E4103800,Raster CRS3035RES100mN3094200E4103800,50.9184008,6.9110219,80,100,98,63,50,50
CRS3035RES100mN3095500E4105500,Raster CRS3035RES100mN3095500E4105500,50.9307175,6.9344086,80,100,99,63,50,50
CRS3035RES100mN3095700E4106100,Raster CRS3035RES100mN3095700E4106100,50.9327392,6.9428186,80,100,100,63,50,50
CRS3035RES100mN3096200E4103100,Raster CRS3035RES100mN3096200E4103100,50.9360946,6.8998773,80,100,97,64,50,50
CRS3035RES100mN3094300E4104300,Raster CRS3035RES100mN3094300E4104300,50.9194883,6.9180672,80,100,99,63,50,50
CRS3035RES100mN3094100E4105000,Raster CRS3035RES100mN3094100E4105000,50.9179569,6.928133,80,100,98,63,50,50
CRS3035RES100mN3093500E4104800,Raster CRS3035RES100mN3093500E4104800,50.9124933,6.9256474,80,100,100,63,50,50
CRS3035RES100mN3097900E4107000,Raster CRS3035RES100mN3097900E4107000,50.9528329,6.9543162,80,100,100,60,50,50
CRS3035RES100mN3095100E4106400,Raster CRS3035RES100mN3095100E4106400,50.9274636,6.9474369,80,100,99,63,50,50
CRS3035RES100mN3093900E4104700,Raster CRS3035RES100mN3093900E4104700,50.9160476,6.9239889,80,100,99,63,50,50
CRS3035RES100mN3093400E4105100,Raster CRS3035RES100mN3093400E4105100,50.9117085,6.9299691,80,100,99,63,50,50
CRS3035RES100mN3095500E4106400,Raster CRS3035RES100mN3095500E4106400,50.9310557,6.9472009,80,100,99,63,50,50
CRS3035RES100mN3097100E4104700,Raster CRS3035RES100mN3097100E4104700,50.9447837,6.9220859,79,100,94,64,50,50
CRS3035RES100mN3096900E4110600,Raster CRS3035RES100mN3096900E4110600,50.9451881,7.0060902,79,100,99,59,50,50
CRS3035RES100mN3094200E4106700,Raster CRS3035RES100mN3094200E4106700,50.9194938,6.9522307,79,100,97,59,50,50
