cell_id,latitude,longitude,solar_score,specific_yield_kwh_kwp,reference_yield_800w_kwh,reference_energy_value_eur,sample_bucket,sample_grid_m,pvgis_version
CRS3035RES100mN3097300E4107100,50.9474822,6.9560915,60,745.8,596.7,142.01,E4107000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3094900E4107400,50.9260417,6.9617670,59,745.2,596.2,141.89,E4107000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3095800E4108200,50.9344220,6.9726104,60,745.5,596.4,141.94,E4108000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3097600E4104800,50.9493115,6.9232102,64,749.8,599.8,142.76,E4104000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3096700E4110300,50.9432816,7.0019406,59,745.0,596.0,141.84,E4110000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3099000E4107200,50.9627859,6.9565127,54,735.9,588.7,140.12,E4107000N3099000,1000,PVGIS 5.3
CRS3035RES100mN3095400E4109900,50.9314595,6.9970083,60,745.4,596.3,141.93,E4109000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095500E4105800,50.9308304,6.9386727,63,749.3,599.4,142.66,E4105000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3096500E4105800,50.9398105,6.9380808,63,749.5,599.6,142.7,E4105000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3097400E4107000,50.9483428,6.9546107,60,745.8,596.7,142.01,E4107000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3094700E4107300,50.9242083,6.9604633,59,745.2,596.2,141.89,E4107000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3095300E4105700,50.9289968,6.9373697,63,749.3,599.4,142.66,E4105000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095600E4109800,50.9332187,6.9954707,60,745.4,596.3,141.93,E4109000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3097200E4105900,50.9461342,6.9390882,56,741.3,593.0,141.14,E4105000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3098700E4106700,50.9599047,6.9495781,56,743.4,594.7,141.54,E4106000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3097500E4104400,50.9482622,6.9175822,64,749.8,599.8,142.76,E4104000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3095400E4111400,50.9320109,7.0183298,59,744.8,595.8,141.8,E4111000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3098600E4106600,50.9589692,6.9482149,56,743.4,594.7,141.54,E4106000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3096600E4110300,50.9423835,7.0019986,59,745.0,596.0,141.84,E4110000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3098300E4104500,50.9554841,6.9185274,57,743.4,594.7,141.54,E4104000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3099100E4106800,50.9635342,6.9507644,57,743.6,594.9,141.58,E4106000N3099000,1000,PVGIS 5.3
CRS3035RES100mN3095900E4108400,50.9353944,6.9753949,60,745.5,596.4,141.94,E4108000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3098000E4107100,50.9537683,6.9556794,54,735.7,588.6,140.08,E4107000N3098000,1000,PVGIS 5.3
CRS3035RES100mN3094100E4107400,50.9188574,6.9622366,59,745.2,596.2,141.89,E4107000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3095200E4106600,50.9284366,6.9502205,63,749.3,599.4,142.66,E4106000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3099800E4110900,50.9713418,7.0086781,49,730.1,584.0,139.0,E4110000N3099000,1000,PVGIS 5.3
CRS3035RES100mN3099400E4107000,50.9663032,6.9534323,54,735.9,588.7,140.12,E4107000N3099000,1000,PVGIS 5.3
CRS3035RES100mN3094700E4104700,50.9232316,6.9235135,63,749.1,599.3,142.64,E4104000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3095100E4107300,50.9278004,6.9602283,60,745.3,596.2,141.91,E4107000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095400E4105700,50.9298948,6.9373105,63,749.3,599.4,142.66,E4105000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3096400E4110300,50.9405874,7.0021145,59,745.0,596.0,141.84,E4110000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3097500E4104800,50.9484135,6.9232697,64,749.8,599.8,142.76,E4104000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097700E4110700,50.9524093,7.0070491,49,729.6,583.7,138.92,E4110000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3096000E4108300,50.9362553,6.9739149,60,745.6,596.5,141.96,E4108000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096200E4106000,50.9371917,6.9411015,62,748.2,598.5,142.45,E4106000N3096000,1000,PVGIS 5.3
