cell_id,latitude,longitude,housing_units,mfh_share,building_count_zensus,mfh_buildings_zensus,source
CRS3035RES100mN3097300E4107100,50.9474822,6.9560915,274.50,0.8696,46,40,Zensus 2022 / Destatis
CRS3035RES100mN3094900E4107400,50.9260417,6.9617670,247.50,0.8571,42,36,Zensus 2022 / Destatis
CRS3035RES100mN3095800E4108200,50.9344220,6.9726104,243.00,0.8537,41,35,Zensus 2022 / Destatis
CRS3035RES100mN3097600E4104800,50.9493115,6.9232102,237.00,0.7955,44,35,Zensus 2022 / Destatis
CRS3035RES100mN3096700E4110300,50.9432816,7.0019406,225.00,1.0000,29,29,Zensus 2022 / Destatis
CRS3035RES100mN3099000E4107200,50.9627859,6.9565127,221.50,0.8158,38,31,Zensus 2022 / Destatis
CRS3035RES100mN3095400E4109900,50.9314595,6.9970083,220.50,1.0000,30,30,Zensus 2022 / Destatis
CRS3035RES100mN3095500E4105800,50.9308304,6.9386727,220.50,1.0000,28,28,Zensus 2022 / Destatis
CRS3035RES100mN3096500E4105800,50.9398105,6.9380808,220.50,1.0000,31,31,Zensus 2022 / Destatis
CRS3035RES100mN3097400E4107000,50.9483428,6.9546107,220.50,1.0000,34,34,Zensus 2022 / Destatis
CRS3035RES100mN3094700E4107300,50.9242083,6.9604633,212.00,0.7561,41,31,Zensus 2022 / Destatis
CRS3035RES100mN3095300E4105700,50.9289968,6.9373697,211.50,1.0000,31,31,Zensus 2022 / Destatis
CRS3035RES100mN3095600E4109800,50.9332187,6.9954707,211.50,1.0000,28,28,Zensus 2022 / Destatis
CRS3035RES100mN3097200E4105900,50.9461342,6.9390882,211.50,1.0000,28,28,Zensus 2022 / Destatis
CRS3035RES100mN3098700E4106700,50.9599047,6.9495781,209.00,0.7838,37,29,Zensus 2022 / Destatis
CRS3035RES100mN3097500E4104400,50.9482622,6.9175822,205.50,0.9118,34,31,Zensus 2022 / Destatis
