cell_id,name,latitude,longitude,potential_score,housing_density_score,building_fit_score,solar_score,market_gap_score,campaign_score
CRS3035RES100mN2724300E4184600,Raster CRS3035RES100mN2724300E4184600,47.6177359,8.1871989,80,94,95,77,50,50
CRS3035RES100mN2724800E4187400,Raster CRS3035RES100mN2724800E4187400,47.6228454,8.2242578,79,100,90,71,50,50
CRS3035RES100mN2722000E4180800,Raster CRS3035RES100mN2722000E4180800,47.596194,8.1374429,78,90,100,66,50,50
CRS3035RES100mN2724700E4187300,Raster CRS3035RES100mN2724700E4187300,47.6219241,8.2229596,78,90,98,71,50,50
CRS3035RES100mN2726100E4192200,Raster CRS3035RES100mN2726100E4192200,47.6355596,8.2876719,76,84,95,74,50,50
CRS3035RES100mN2724300E4184700,Raster CRS3035RES100mN2724300E4184700,47.617758,8.1885279,75,86,87,77,50,50
CRS3035RES100mN2724900E4187600,Raster CRS3035RES100mN2724900E4187600,47.6237882,8.2268853,75,94,80,71,50,50
CRS3035RES100mN2726100E4191800,Raster CRS3035RES100mN2726100E4191800,47.6354762,8.2823538,75,84,93,71,50,50
CRS3035RES100mN2725300E4186800,Raster CRS3035RES100mN2725300E4186800,47.627214,8.2161271,75,91,99,51,50,50
CRS3035RES100mN2724600E4187200,Raster CRS3035RES100mN2724600E4187200,47.6210027,8.2216615,74,90,81,71,50,50
CRS3035RES100mN2724300E4187800,Raster CRS3035RES100mN2724300E4187800,47.6184331,8.229729,74,75,100,71,50,50
CRS3035RES100mN2725100E4193800,Raster CRS3035RES100mN2725100E4193800,47.6268935,8.3092398,74,79,97,70,50,50
CRS3035RES100mN2725500E4193900,Raster CRS3035RES100mN2725500E4193900,47.6305129,8.3104513,74,83,91,70,50,50
CRS3035RES100mN2724800E4186500,Raster CRS3035RES100mN2724800E4186500,47.6226504,8.2122951,73,84,86,71,50,50
CRS3035RES100mN2724800E4187300,Raster CRS3035RES100mN2724800E4187300,47.6228238,8.2229286,73,84,86,71,50,50
CRS3035RES100mN2724800E4186600,Raster CRS3035RES100mN2724800E4186600,47.6226721,8.2136243,73,81,87,71,50,50
CRS3035RES100mN2726100E4190800,Raster CRS3035RES100mN2726100E4190800,47.6352665,8.2690584,72,68,97,74,50,50
CRS3035RES100mN2723100E4182900,Raster CRS3035RES100mN2723100E4182900,47.6065626,8.1649892,72,70,91,77,50,50
CRS3035RES100mN2726100E4191400,Raster CRS3035RES100mN2726100E4191400,47.6353925,8.2770356,71,74,88,71,50,50
CRS3035RES100mN2724300E4184500,Raster CRS3035RES100mN2724300E4184500,47.6177139,8.1858698,71,83,73,77,50,50
CRS3035RES100mN2725000E4186400,Raster CRS3035RES100mN2725000E4186400,47.624428,8.2109035,71,77,99,51,50,50
CRS3035RES100mN2725700E4193500,Raster CRS3035RES100mN2725700E4193500,47.6322301,8.3050744,71,79,85,70,50,50
CRS3035RES100mN2723500E4192500,Raster CRS3035RES100mN2723500E4192500,47.6122292,8.2924353,71,72,92,68,50,50
CRS3035RES100mN2725000E4193500,Raster CRS3035RES100mN2725000E4193500,47.625932,8.3052814,71,76,87,70,50,50
CRS3035RES100mN2724700E4187200,Raster CRS3035RES100mN2724700E4187200,47.6219024,8.2216305,70,68,90,71,50,50
CRS3035RES100mN2729400E4198700,Raster CRS3035RES100mN2729400E4198700,47.6665704,8.3731572,70,86,64,80,50,50
CRS3035RES100mN2725800E4191600,Raster CRS3035RES100mN2725800E4191600,47.6327352,8.2797848,70,79,86,63,50,50
